Protein,GO_term/EC_number,Score,GO_term/EC_number name
A,GO:0015318,0.99955,inorganic molecular entity transmembrane transporter activity
B,GO:0015318,0.99890,inorganic molecular entity transmembrane transporter activity
C,GO:0003955,0.24991,NAD(P)H dehydrogenase (quinone) activity
D,GO:0051540,0.44101,metal cluster binding
E,GO:0016655,0.99390,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"
F,GO:0050136,0.99999,NADH dehydrogenase (quinone) activity
G,GO:0016651,0.51225,"oxidoreductase activity, acting on NAD(P)H"
H,GO:0016853,0.78599,isomerase activity
I,GO:0008270,0.99974,zinc ion binding
J,GO:0005215,0.50252,transporter activity
